Average retail price of electricity monthly
http://www.eia.gov/electricity/data/browser/#/topic/7?agg=0,1&geo=g&endsec=vg&linechart=~ELEC.PRICE.US-RES.M~~&columnchart=ELEC.PRICE.US-ALL.M~ELEC.PRICE.US-RES.M~ELEC.PRICE.US-COM.M~ELEC.PRICE.US-IND.M&map=ELEC.PRICE.US-ALL.M&freq=M&start=200101&end=201406&ctype=linechart&ltype=pin&rtype=s&pin=&rse=0&maptype=0
22:37:21 GMT-0600 (MDT)
Source: U.S. Energy Information Administration
Month,United States : residential cents per kilowatthour
Jun 2014,13.14
May 2014,12.84
Apr 2014,12.31
Mar 2014,12.26
Feb 2014,11.88
Jan 2014,11.65
Dec 2013,11.72
Nov 2013,12.09
Oct 2013,12.31
Sep 2013,12.49
Aug 2013,12.51
Jul 2013,12.61
Jun 2013,12.54
May 2013,12.42
Apr 2013,11.93
Mar 2013,11.6
Feb 2013,11.63
Jan 2013,11.47
Dec 2012,11.62
Nov 2012,11.75
Oct 2012,12.03
Sep 2012,12.3
Aug 2012,12.17
Jul 2012,12
Jun 2012,12.09
May 2012,11.9
Apr 2012,11.92
Mar 2012,11.7
Feb 2012,11.51
Jan 2012,11.41
Dec 2011,11.4
Nov 2011,11.78
Oct 2011,12.08
Sep 2011,12.17
Aug 2011,12.09
Jul 2011,12.09
Jun 2011,11.97
May 2011,11.93
Apr 2011,11.67
Mar 2011,11.52
Feb 2011,11.06
Jan 2011,10.87
Dec 2010,11.06
Nov 2010,11.62
Oct 2010,11.86
Sep 2010,11.95
Aug 2010,12.03
Jul 2010,12.04
Jun 2010,11.91
May 2010,11.91
Apr 2010,11.71
Mar 2010,11.11
Feb 2010,10.89
Jan 2010,10.49
Dec 2009,10.9
Nov 2009,11.26
Oct 2009,11.65
Sep 2009,11.96
Aug 2009,11.94
Jul 2009,11.85
Jun 2009,11.81
May 2009,11.78
Apr 2009,11.5
Mar 2009,11.28
Feb 2009,11.18
Jan 2009,10.98
Dec 2008,10.86
Nov 2008,11.42
Oct 2008,11.81
Sep 2008,11.92
Aug 2008,12.09
Jul 2008,12.07
Jun 2008,11.77
May 2008,11.4
Apr 2008,10.93
Mar 2008,10.45
Feb 2008,10.16
Jan 2008,10.14
Dec 2007,10.33
Nov 2007,10.7
Oct 2007,10.82
Sep 2007,10.96
Aug 2007,11.07
Jul 2007,11.07
Jun 2007,11.09
May 2007,10.77
Apr 2007,10.63
Mar 2007,10.27
Feb 2007,9.89
Jan 2007,10.06
Dec 2006,9.84
Nov 2006,10.18
Oct 2006,10.58
Sep 2006,10.94
Aug 2006,10.94
Jul 2006,10.96
Jun 2006,10.85
May 2006,10.61
Apr 2006,10.32
Mar 2006,9.87
Feb 2006,9.8
Jan 2006,9.55
Dec 2005,9.27
Nov 2005,9.76
Oct 2005,9.76
Sep 2005,9.94
Aug 2005,9.93
Jul 2005,9.77
Jun 2005,9.79
May 2005,9.56
Apr 2005,9.22
Mar 2005,8.87
Feb 2005,8.76
Jan 2005,8.52
Dec 2004,8.58
Nov 2004,8.96
Oct 2004,9.05
Sep 2004,9.39
Aug 2004,9.5
Jul 2004,9.36
Jun 2004,9.29
May 2004,9.07
Apr 2004,8.93
Mar 2004,8.62
Feb 2004,8.33
Jan 2004,8.24
Dec 2003,8.3
Nov 2003,8.72
Oct 2003,8.85
Sep 2003,8.92
Aug 2003,9.22
Jul 2003,9.21
Jun 2003,9.25
May 2003,8.99
Apr 2003,8.82
Mar 2003,8.35
Feb 2003,8.02
Jan 2003,8
Dec 2002,8.08
Nov 2002,8.31
Oct 2002,8.47
Sep 2002,8.59
Aug 2002,8.72
Jul 2002,8.82
Jun 2002,8.73
May 2002,8.64
Apr 2002,8.37
Mar 2002,8.17
Feb 2002,8.19
Jan 2002,8.07
Dec 2001,8.29
Nov 2001,8.47
Oct 2001,8.84
Sep 2001,8.92
Aug 2001,9.01
Jul 2001,9.03
Jun 2001,9.07
May 2001,8.83
Apr 2001,8.46
Mar 2001,8.32
Feb 2001,8.04
Jan 2001,7.73 
